iter	Logloss
0	0.6710480873
1	0.6540561403
2	0.6342750722
3	0.6177721561
4	0.6029927969
5	0.5873060152
6	0.5761401109
7	0.5639459553
8	0.54986452
9	0.5383450172
10	0.5246460145
11	0.5119739844
12	0.4998655172
13	0.489889848
14	0.480639228
15	0.4716072362
16	0.4611365762
17	0.4540335123
18	0.4430823203
19	0.434742164
20	0.4251367316
21	0.4191545071
22	0.4111619032
23	0.4033795758
24	0.3974329127
25	0.390072483
26	0.3828064602
27	0.3782755754
28	0.3746551229
29	0.3681958564
30	0.3615823247
31	0.3567592905
32	0.3510650839
33	0.3463491279
34	0.3405984958
35	0.3359005283
36	0.3315739944
37	0.3280726501
38	0.3255421695
39	0.3224204972
40	0.3194861965
41	0.3168864779
42	0.3137180239
43	0.3107810453
44	0.3074016926
45	0.3044749734
46	0.3016380587
47	0.2985823384
48	0.2953625912
49	0.2928734643
50	0.289984438
51	0.2875664969
52	0.2861435193
53	0.284279305
54	0.2817666517
55	0.2802184188
56	0.2777954888
57	0.2763991085
58	0.2737637024
59	0.2716104289
60	0.2696246857
61	0.2679184399
62	0.2662483506
63	0.2643353079
64	0.2629416749
65	0.2616058378
66	0.2598329018
67	0.2584228591
68	0.2570110854
69	0.2557713227
70	0.2548015227
71	0.2532647515
72	0.2517550503
73	0.2506399423
74	0.2495473317
75	0.2480925158
76	0.246628145
77	0.2456575704
78	0.2443909233
79	0.2430594946
80	0.2418475639
81	0.2408558774
82	0.2400353848
83	0.2394299886
84	0.2384102146
85	0.2372959979
86	0.2361175949
87	0.2354020899
88	0.2344452839
89	0.2334947414
90	0.2328121676
91	0.232317756
92	0.2312830039
93	0.2303942603
94	0.2297072397
95	0.2288918159
96	0.228131186
97	0.2275721413
98	0.2269607441
99	0.226294314
100	0.2258065351
101	0.2248967806
102	0.2244748423
103	0.2240262079
104	0.2235103795
105	0.2230505281
106	0.2220651127
107	0.22157573
108	0.2211576276
109	0.2205875214
110	0.2201644023
111	0.2196980109
112	0.219260108
113	0.218423911
114	0.217827868
115	0.2174323945
116	0.2169208182
117	0.2165601656
118	0.2160114632
119	0.2154118443
120	0.2150216075
121	0.2145562437
122	0.2134832959
123	0.2130554641
124	0.2123403994
125	0.2117980083
126	0.2115236603
127	0.2112586617
128	0.2108230305
129	0.2104057952
130	0.2099732944
131	0.2094150207
132	0.2089457517
133	0.2087656617
134	0.2082570129
135	0.2078676631
136	0.2074607397
137	0.2071272188
138	0.2066636205
139	0.2063310653
140	0.206029532
141	0.2054628782
142	0.2050664315
143	0.2047817099
144	0.2045147601
145	0.2040345762
146	0.2036329091
147	0.203215064
148	0.2028638759
149	0.2024935599
150	0.2020698655
151	0.201810825
152	0.2015311313
153	0.2012555448
154	0.2010391538
155	0.2006847149
156	0.2004095657
157	0.2001706065
158	0.199879957
159	0.1996373321
160	0.1993127265
161	0.1991001157
162	0.1987628462
163	0.1983525539
164	0.1981289448
165	0.197850412
166	0.1976319523
167	0.1972819629
168	0.1969648858
169	0.1966642843
170	0.1963211784
171	0.1961848351
172	0.1959799556
173	0.1957612753
174	0.1954414521
175	0.1949614852
176	0.194750346
177	0.1945774726
178	0.194163427
179	0.1937397729
180	0.1935759716
181	0.1932522037
182	0.1930806134
183	0.192838454
184	0.1926226189
185	0.192460418
186	0.1922534644
187	0.1919500968
188	0.191645288
189	0.1915138141
190	0.1910521582
191	0.1908279498
192	0.1905851384
193	0.1904289757
194	0.1902583793
195	0.1899383101
196	0.1897184784
197	0.1895669409
198	0.1892527022
199	0.1891552815
200	0.1889396603
201	0.1888009507
202	0.188553626
203	0.188423189
204	0.1880329608
205	0.1878326295
206	0.1874565824
207	0.1871605073
208	0.1869661977
209	0.1867026465
210	0.1864702364
211	0.1862277719
212	0.1859781388
213	0.1857435578
214	0.1856405131
215	0.1854828615
216	0.1852764407
217	0.1851186153
218	0.1849321925
219	0.1847673173
220	0.1847221199
221	0.1845070331
222	0.1842143492
223	0.1838380588
224	0.1836240769
225	0.1834021045
226	0.1831202159
227	0.1830181165
228	0.1827819617
229	0.1826048908
230	0.1824362876
231	0.1823389477
232	0.1821593866
233	0.1819796325
234	0.1818014028
235	0.1815933705
236	0.1813312246
237	0.1811934971
238	0.1809913448
239	0.1807783929
240	0.1804752803
241	0.1802439809
242	0.1801495945
243	0.1799474985
244	0.1798096743
245	0.1796125407
246	0.179421374
247	0.1792961629
248	0.1791631335
249	0.1790295544
250	0.1789150832
251	0.1787524346
252	0.1785347379
253	0.178387842
254	0.1782211131
255	0.1780601898
256	0.1777825944
257	0.1773739567
258	0.1771829046
259	0.1769954218
260	0.1768564455
261	0.1767631283
262	0.1765567703
263	0.1763332142
264	0.176174444
265	0.175897367
266	0.1756989592
267	0.1755848434
268	0.1754746004
269	0.1751826676
270	0.1751014388
271	0.1749687666
272	0.174800953
273	0.174688686
274	0.1745995574
